# claude — a handwritten pipeline-stress / coverage suite.
#
# This suite is for *testing the pp2lp pipeline*, not for staying green.  It
# deliberately spans the whole rule space (every PP family) and the whole
# proof-size span (one-rule leaves → 200+-rule proofs), AND it probes the known
# frontier: set-equality / equality-congruence, arithmetic antisymmetry and
# double-negation (AR4/AR7/AR8), INS over rewritten hyps, NAT membership, and
# existential/quantifier shapes REPLAY mishandles.  Authored by hand, grouped by
# what each section tests.
#
# INVARIANT: every goal is a genuine theorem submitted to PP as the BARE goal —
# no hypotheses, no goal-as-hypothesis self-promotion.  PP proves it outright,
# closing the goal's free variables universally and inferring their types from
# context.  A goal PP cannot prove produces no .trace and is rejected at gen time
# (see the guardrail in gen_traces), so it does not belong here.  (Mind PP's
# parser: `<=>` binds tighter than `&`, and `=>` is left-associative —
# parenthesise accordingly, e.g. `(a & b) <=> (b & a)`, `x<=y => (y<=x => x=y)`.)
#
# Format: name | kind | goal
#   prop  — bare identifiers are propositional variables
#   expr  — bare identifiers are expression variables (sets / functions / ints)
#
# `goals.txt` is the source of truth — regenerate with `pp2lp gen claude`,
# check with `pp2lp run claude`.  Coverage notes (→ RULE) are intended targets;
# measure actual firings from the generated `.replay` files.  Some goals are
# theorems pp2lp cannot yet *translate* (Farkas, AR4/AR7/AR8, …); those fail at
# the lambdapi-check stage, not at PP — a signal about the pipeline frontier.

# ════════════════════════════════════════════════════════════════════════
# A. Propositional connectives — AND / OR / NOT, tiny → medium  (AND*, OR*, NOT*)
# ════════════════════════════════════════════════════════════════════════

# leaves (1–3 rules)

# identity / idempotence
p_imp_self        | prop | a => a
p_iff_self        | prop | a <=> a
p_and_idem        | prop | (a & a) <=> a
p_or_idem         | prop | a or a <=> a

# commutativity
p_and_comm        | prop | (a & b) <=> (b & a)
p_or_comm         | prop | a or b <=> b or a
p_iff_comm        | prop | (a <=> b) <=> (b <=> a)

# associativity
p_and_assoc       | prop | ((a & b) & c) <=> (a & (b & c))
p_or_assoc        | prop | (a or b) or c <=> a or (b or c)

# distributivity (both directions)
p_distrib_ao      | prop | (a & (b or c)) <=> ((a & b) or (a & c))
p_distrib_oa      | prop | (a or (b & c)) <=> ((a or b) & (a or c))

# absorption
p_absorb_and      | prop | (a & (a or b)) <=> a
p_absorb_or       | prop | a or (a & b) <=> a

# De Morgan (2- and 3-ary)
p_demorgan_and    | prop | not(a & b) <=> not(a) or not(b)
p_demorgan_or     | prop | (not (a or b)) <=> ((not a) & (not b))
p_demorgan_and3   | prop | not(a & b & c) <=> not(a) or not(b) or not(c)
p_demorgan_or3    | prop | (not ((a or b) or c)) <=> (((not a) & (not b)) & (not c))

# negation laws
p_dneg_elim       | prop | not(not(a)) => a
p_dneg_intro      | prop | a => not(not(a))
p_tneg            | prop | not(not(not(a))) => not(a)
p_excluded_middle | prop | a or not(a)
p_noncontra       | prop | not(a & not(a))

# bigger conjunction / disjunction shapes

# ════════════════════════════════════════════════════════════════════════
# B. Implication structure — IMP family, medium → large
# ════════════════════════════════════════════════════════════════════════

imp_mp            | prop | a & (a => b) => b
imp_mt            | prop | (a => b) & not(b) => not(a)
imp_contrapos     | prop | (a => b) <=> (not(b) => not(a))
